class_name,prototype_type,prototype_text,num_descriptions,num_clusters
Arson,hard_negative_distinction,"Distinguish deliberate placement and ignition followed by spreading flames from forced entry alone, routine cooking or heating, and brief lighter use without sustained spread.",18,2
Assault,core_action,"Multiple people visibly converge on and physically strike, kick, push, or restrain one individual, often causing the person to fall while others gather nearby.",25,2
Assault,actor_object_interaction,"Participants use hands or carried objects to grab, pull, block, or hit a targeted person, while surrounding individuals join, watch closely, or attempt to separate them.",25,2
Assault,temporal_progression,"A sudden approach develops into repeated physical contact; the targeted person falls or becomes unable to move, followed by intervention, assistance, separation, or dispersal.",25,2
Assault,scene_context,"The pattern occurs in shared indoor or outdoor spaces where several people cluster around one person, restrict movement, and maintain close physical contact.",25,2
Assault,hard_negative_distinction,"Distinguish from brief accidental contact, consensual play, or organized sports by the repeated directed actions, imbalance of participants, and visible loss of mobility.",25,2
Burglary,core_action,"People approach secured buildings, test or force doors and windows, enter through openings, and move through interior spaces while examining multiple areas.",64,2
Burglary,actor_object_interaction,"Individuals manipulate locks, tools, bags, cabinets, drawers, and portable objects, with partners watching, illuminating, receiving items, or guiding them toward an exit.",64,2
Burglary,temporal_progression,"The sequence progresses from scouting or testing access, to forced entry, systematic interior searching, selection and transport of objects, and departure or return.",64,2
Burglary,scene_context,"Visual settings include homes, offices, shops, or storage areas where access points show tampering and interior spaces are searched beyond ordinary movement.",64,2
Burglary,hard_negative_distinction,"Distinguish from routine visitors, employees, deliveries, or maintenance by covert timing, coordinated access manipulation, persistent searching, and removal of multiple unrelated objects.",64,2
Explosion,core_action,"A sudden intense flash or ignition rapidly produces an expanding burst of flames, smoke, dust, or fragments, followed by lingering airborne material and disrupted surroundings.",7,2
Explosion,actor_object_interaction,"People, vehicles, or nearby objects are abruptly affected by the blast, scattering, stopping, or being enveloped as observers and responders approach afterward.",7,2
Explosion,temporal_progression,"Brief concentrated illumination or ignition is followed by rapid outward expansion, rising debris or smoke, sustained suspension, and gradual settling or suppression.",7,2
Explosion,scene_context,"Outdoor spaces, roadsides, vehicles, structures, or open ground show a localized high-energy event with obscured visibility, scattered material, and lingering smoke.",7,2
Explosion,hard_negative_distinction,"Distinguish ordinary vehicle exhaust, dust from movement, controlled flames, or bright reflections by the abrupt flash, forceful expansion, debris dispersal, and persistent plume.",7,2
Fighting,core_action,"Multiple people engage in rapid, forceful physical contact, including pushing, striking, grappling, and kicking, with one or more participants sometimes falling amid a crowded confrontation.",37,2
Fighting,actor_object_interaction,"Participants grab, wield, or raise nearby chairs, stools, bottles, sticks, or other objects during heated confrontations, while surrounding people intervene, restrain participants, or move away.",37,2
Fighting,temporal_progression,"A verbal disagreement escalates into repeated physical contact as additional people arrive, participants surround or restrain someone, and the episode ends with separation, dispersal, or renewed convergence.",37,2
Fighting,scene_context,"Such incidents occur near entrances, storefronts, streets, rooms, vehicle areas, or social spaces, with bystanders gathering, watching, checking fallen individuals, or attempting to restore distance.",37,2
Fighting,hard_negative_distinction,"Separate forceful, sustained clashes involving grabbing, striking, kicking, or wrestling from ordinary conversation, brief accidental contact, playful activity, or coordinated sports movement without visible disruption.",37,2
Normal,core_action,"People routinely walk, work, browse, sort, carry, exchange, and arrange everyday items, with vehicles and pedestrians moving through shared spaces in orderly, recurring activity.",588,10
Normal,actor_object_interaction,"Individuals handle merchandise, documents, packages, tools, carts, and personal belongings while cooperating with clerks, coworkers, customers, drivers, or companions at counters, tables, shelves, and vehicles.",588,10
Normal,temporal_progression,"Activity unfolds through repeated arrivals, departures, brief pauses, exchanges, loading, browsing, travel, and resumed movement, with participants completing tasks and leaving or continuing naturally.",588,10
Normal,scene_context,"Indoor workplaces, stores, corridors, homes, parking areas, roads, and fueling points support routine pedestrian flow, vehicle movement, shopping, work, waiting, and brief social interaction.",588,10
Normal,hard_negative_distinction,"Ordinary activity shows steady movement, proportional gestures, cooperative handling, and uninterrupted task completion, without sudden confrontational behavior, forced taking, hazardous damage, or persistent disorder.",588,10
RoadAccidents,core_action,"Moving vehicles unexpectedly collide with other vehicles, vulnerable road users, or roadside objects, causing abrupt stops, falls, overturning, displacement, or scattered debris.",106,4
RoadAccidents,actor_object_interaction,"Vehicles make forceful contact with cars, motorcycles, bicycles, pedestrians, barriers, trees, or structures, while occupants or nearby people are struck, displaced, trapped, or knocked down.",106,4
RoadAccidents,temporal_progression,"Normal traffic movement is interrupted by contact, followed by falling or displaced people, stopped vehicles, gathering bystanders, assistance, inspection, and possible departure.",106,4
RoadAccidents,scene_context,"Roadways, intersections, turns, crossings, and roadside areas contain moving or parked vehicles, nearby pedestrians, and continuing traffic around a sudden disruptive event.",106,4
RoadAccidents,hard_negative_distinction,"Routine traffic, close passes, turning, parking, or brief stops retain controlled movement and upright road users without forceful contact, falls, displacement, or gathering.",106,4
Robbery,core_action,"One or more armed or forceful individuals confront people, demand valuables or access, collect money or goods, and depart rapidly from the location.",83,3
Robbery,actor_object_interaction,"Individuals threaten or restrain occupants while opening registers, drawers, cabinets, bags, or containers and transferring cash, merchandise, phones, or personal belongings.",83,3
Robbery,temporal_progression,"The sequence develops from coordinated approach and intimidation to compelled compliance, searching or collection of valuables, followed by hurried withdrawal and possible pursuit.",83,3
Robbery,scene_context,"Visual settings include staffed counters, stores, residences, roadside encounters, or stopped vehicles where multiple people control occupants and access personal or commercial property.",83,3
Robbery,hard_negative_distinction,"Distinguish routine purchasing, browsing, or ordinary workplace interactions from coercive demands, forced access, restrained occupants, hurried collection of property, and coordinated departure.",83,3
Shooting,core_action,"An individual raises and discharges a firearm toward nearby people, producing immediate defensive reactions such as crouching, fleeing, taking cover, or falling.",31,2
Shooting,actor_object_interaction,"An armed person directs a firearm at occupants or passersby near counters, vehicles, or doorways, while surrounding individuals retreat, hide, scatter, or remain down.",31,2
Shooting,temporal_progression,"Routine movement shifts abruptly to weapon display and repeated firing, followed by panic responses, hurried departure, continued aiming, or movement away from the area.",31,2
Shooting,scene_context,"The behavior occurs in public or commercial environments, rooms, entrances, and vehicle areas where multiple people are present and visible movement changes suddenly.",31,2
Shooting,hard_negative_distinction,"Distinguish from ordinary pointing, carrying objects, verbal disputes, or brief physical contact by the clear firearm orientation, discharge, and coordinated defensive movement.",31,2
Shoplifting,core_action,"A customer discreetly removes displayed merchandise and conceals it in clothing, a bag, or behind the body before moving away from the retail area.",29,2
Shoplifting,actor_object_interaction,"Individuals coordinate around shelves or counters, transferring packaged goods while one person places items inside clothing or a carried bag and monitors nearby people.",29,2
Shoplifting,temporal_progression,"Browsing progresses to repeated handling, concealment, pauses or returns, followed by coordinated movement toward an exit, sometimes with companions departing together or separately.",29,2
Shoplifting,scene_context,"Retail aisles, counters, or display areas show customers selecting small merchandise, watching staff or surroundings, and moving between products, bags, and exits.",29,2
Shoplifting,hard_negative_distinction,"Distinct from ordinary browsing, the behavior includes deliberate concealment, coordinated monitoring, unusual lingering or returning, and departure without visibly presenting items for purchase.",29,2
Stealing,core_action,"A person or group covertly approaches a parked vehicle, gains access or manipulates controls, removes it or items from inside, and departs.",66,2
Stealing,actor_object_interaction,"Individuals inspect locks, doors, windows, trunks, or ignition areas, then handle vehicle contents or move the vehicle while coordinating with nearby companions.",66,2
Stealing,temporal_progression,"The behavior progresses from surveillance and repeated checking to forced or unauthorized access, extraction or transfer of property, and rapid departure.",66,2
Stealing,scene_context,"Typically occurs around unattended parked vehicles, with one or more people using concealment, lookout behavior, tools, or a waiting vehicle during the interaction.",66,2
Stealing,hard_negative_distinction,"Distinct from ordinary loading, authorized entry, or vehicle maintenance, which show clear purposeful use, brief access, and no covert searching, forced entry, or unexplained removal.",66,2
Vandalism,core_action,"Individuals deliberately strike, kick, push, throw objects at, overturn, or otherwise damage unattended public fixtures, vehicles, containers, or structures, then disengage.",30,2
Vandalism,actor_object_interaction,"A person or small group approaches an object, applies repeated force or drags an item across its surface, while companions observe, assist, or collect displaced materials.",30,2
Vandalism,temporal_progression,"The behavior progresses from approach and brief surveillance to repeated impacts or displacement, followed by scattering, retreat, or departure as the surroundings remain disturbed.",30,2
Vandalism,scene_context,"Public walkways, entrances, roadside areas, parked vehicles, storefronts, barriers, and exposed fixtures show localized physical disruption involving objects normally left in place.",30,2
Vandalism,hard_negative_distinction,"Distinguish deliberate repeated force, displacement, and purposeful withdrawal from ordinary contact, maintenance, play, transit, or accidental bumps that leave objects and surfaces undisturbed.",30,2
