class_name,class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin,best_other_class,other_minus_own,suggested_action,reasons
Explosion,6,3,a concentrated blast throwing debris radially outward,84.99320177729727,23.402494979493362,0.6262713670730591,0.1635364294052124,0.4627349376678467,Shooting,-0.0459325909614563,keep,
Shoplifting,11,4,a customer exiting retail space with concealed merchandise,84.06490741562303,23.402910348265614,0.6674249172210693,0.2044110745191574,0.46301382780075073,Explosion,-0.04061484336853027,keep,
Shoplifting,11,2,store goods disappearing beneath a jacket while shopping,79.83785829286771,20.62745860639257,0.777492880821228,0.30932652950286865,0.4681663513183594,Vandalism,-0.11283379793167114,keep,
Explosion,6,0,an instant detonation expanding from a blast center,84.74306119644285,23.399940207539018,0.646837055683136,0.17462241649627686,0.47221463918685913,Shooting,-0.054874539375305176,keep,
RoadAccidents,8,4,a crashed vehicle blocking lanes after impact,79.89314216610705,20.21276307518883,0.7432467341423035,0.26915255188941956,0.4740941822528839,Vandalism,-0.13577520847320557,keep,
Arrest,2,1,officers escorting a handcuffed person toward a patrol car,85.6236071193045,25.80202071119839,0.6619074940681458,0.18630994856357574,0.4755975604057312,Shooting,-0.058635056018829346,keep,
Shooting,10,3,a person firing a handgun in surveillance footage,85.66196597365045,24.556779019122892,0.6499717235565186,0.17180663347244263,0.4781650900840759,Vandalism,-0.08103024959564209,keep,
Shooting,10,4,an armed shooter discharging a weapon toward people,85.88784199284312,24.89603621112842,0.6521945595741272,0.17284350097179413,0.4793510437011719,Arrest,-0.06649166345596313,keep,
Fighting,7,2,opponents separating and reengaging in group fighting,85.19557056580614,24.046114521812296,0.6638702750205994,0.17971330881118774,0.4841569662094116,Explosion,-0.021139681339263916,keep,
Arson,3,2,a lighter touching a surface before ignition begins,82.6398875417665,21.90015434356936,0.6956313252449036,0.21035648882389069,0.4852748513221741,Explosion,-0.028251588344573975,keep,
Fighting,7,0,two groups mutually exchanging punches in a brawl,85.00758654344818,24.705893818556373,0.6626110672950745,0.17397284507751465,0.4886382222175598,Explosion,-0.047899484634399414,keep,
Assault,4,2,an aggressor kicking a fallen victim on pavement,85.1017508240016,24.047621494727327,0.6676153540611267,0.17804643511772156,0.48956891894340515,Abuse,-0.03002077341079712,keep,
Arrest,2,3,law enforcement securing a suspect during formal custody,84.54018951925765,22.99819708161703,0.6792004108428955,0.1893278956413269,0.4898725152015686,Shooting,-0.04003143310546875,keep,
RoadAccidents,8,1,a car striking a pedestrian or cyclist on road,82.24040965299525,21.58699429134781,0.708773672580719,0.21643806993961334,0.49233561754226685,Vandalism,-0.02519124746322632,keep,
Vandalism,13,0,a person smashing a window or door with force,85.84960692148896,24.863107368298937,0.6704122424125671,0.17790785431861877,0.49250438809394836,Explosion,-0.028370559215545654,keep,
Shoplifting,11,3,a shopper slipping merchandise into a bag in aisle,82.246120425851,23.519554009912923,0.7561798095703125,0.26070404052734375,0.49547576904296875,Stealing,-0.1338936686515808,keep,
Shooting,10,0,an armed person aiming and firing a firearm,84.59183551443962,23.015781839717746,0.6901602745056152,0.19422326982021332,0.4959369897842407,Vandalism,-0.06845879554748535,keep,
Shoplifting,11,1,a person hiding a retail item while browsing shelves,84.87557591665657,26.158144680048512,0.7179155349731445,0.22110846638679504,0.4968070685863495,Vandalism,-0.07369542121887207,keep,
Arson,3,4,a person retreating as planted fire starts spreading,84.59001630202631,22.937386790991926,0.6933818459510803,0.19417120516300201,0.4992106556892395,Explosion,-0.027418971061706543,keep,
Shooting,10,1,a visible muzzle flash from a discharged gun,85.13904725014301,23.85228013566162,0.6866001486778259,0.18678227066993713,0.4998178780078888,Explosion,-0.0623706579208374,keep,
RoadAccidents,8,2,a motorbike sliding across a lane after collision,81.00640098466798,20.774406345989007,0.7626238465309143,0.2558523118495941,0.5067715644836426,Vandalism,-0.13458549976348877,keep,
Explosion,6,4,a sudden pressure wave following a visible detonation,83.60068499841404,22.3494904314225,0.7239712476730347,0.21446390450000763,0.5095073580741882,Arson,-0.025893449783325195,keep,
Arrest,2,2,a handcuffed suspect standing between multiple police officers,85.74686666760772,24.775225740646306,0.7049077749252319,0.19107383489608765,0.5138339400291443,Abuse,-0.08819711208343506,keep,
Robbery,9,0,a threatening person forcing a victim to surrender valuables,83.51088131362391,24.079110458746396,0.7813960313796997,0.2649320065975189,0.5164639949798584,Burglary,-0.14446282386779785,keep,
Shooting,10,2,a shooter raising a gun before firing,83.70210438759355,21.876023569261836,0.7669914960861206,0.24816055595874786,0.5188309550285339,Explosion,-0.05941140651702881,keep,
Stealing,12,3,a person pocketing an unattended item and changing direction,81.88421880712349,27.403478939017145,0.8110381960868835,0.2918154001235962,0.5192227959632874,Robbery,-0.07587027549743652,keep,
Assault,4,4,an attacker chasing one target while striking repeatedly,85.36206325853757,23.896372849909504,0.7260686755180359,0.2063867151737213,0.5196819305419922,Shooting,-0.051804542541503906,keep,
Explosion,6,1,a shockwave pushing fragments outward within seconds,85.15030264288151,23.573172787149417,0.7212582230567932,0.20137929916381836,0.5198789238929749,Abuse,-0.02650463581085205,keep,
Abuse,1,1,a stronger aggressor controlling a weaker victim indoors,85.81586174291851,24.62647205450812,0.7149872779846191,0.19399124383926392,0.5209960341453552,Assault,-0.0356174111366272,keep,
Shoplifting,11,0,a shopper concealing merchandise inside clothing or bag,83.92183999379552,25.752187404248243,0.7660818099975586,0.2449560910463333,0.5211257338523865,Stealing,-0.07151740789413452,keep,
Robbery,9,4,a robber confronting a victim before taking belongings,83.17171518398966,23.025347923680002,0.8053233623504639,0.2814663052558899,0.523857057094574,Burglary,-0.14505141973495483,keep,
Arrest,2,4,a detained person kneeling while officers apply restraints,85.18832285246546,24.07240017549583,0.7427457571029663,0.21569952368736267,0.5270462036132812,Abuse,-0.08076131343841553,keep,
Stealing,12,0,a person taking unattended property and leaving quickly,82.83881960768854,29.106928591388314,0.8068150281906128,0.2775801420211792,0.5292348861694336,Robbery,-0.05046188831329346,keep,
Stealing,12,2,a suspect carrying property while the owner is distracted,85.26402943658705,24.991328743684484,0.7507274746894836,0.22141118347644806,0.5293163061141968,Burglary,-0.042672038078308105,keep,
Arson,3,1,a person pouring accelerant before visible fire grows,84.81510635436138,23.283357911553313,0.7545694708824158,0.22501163184642792,0.5295578241348267,Vandalism,-0.08113336563110352,keep,
Assault,4,0,a single attacker lunging with a direct strike,85.31669144019325,23.891151983970165,0.7397215962409973,0.20992150902748108,0.5298000574111938,Fighting,-0.05482041835784912,keep,
Abuse,1,0,a vulnerable victim enduring repeated close range mistreatment,86.04879114996295,25.596257474075212,0.7376842498779297,0.20751093327999115,0.5301733016967773,Assault,-0.07346165180206299,keep,
Burglary,5,3,a person climbing through a window into private space,83.83804650751547,24.406178819687366,0.8323506712913513,0.30046606063842773,0.5318846106529236,Robbery,-0.02858835458755493,keep,
Assault,4,3,a victim stumbling backward after a sudden hit,85.74136921815455,25.13142227215387,0.7390066385269165,0.2068834751844406,0.5321231484413147,Abuse,-0.055165648460388184,keep,
Burglary,5,1,a person prying a lock before entering property,85.64907342411546,29.322839904997355,0.7767414450645447,0.2424459457397461,0.5342954993247986,Stealing,-0.023885905742645264,keep,
Fighting,7,3,several combatants grappling and swinging simultaneously,84.86115970664166,23.54496309390153,0.7747699022293091,0.2387804538011551,0.5359894633293152,Assault,-0.08049368858337402,keep,
Fighting,7,4,two sides clashing back and forth in public,85.35624854392576,24.317686575307974,0.752701461315155,0.21457844972610474,0.5381230115890503,Assault,-0.023057222366333008,keep,
Arrest,2,0,uniformed police placing handcuffs on a detained suspect,85.81388257733919,25.53598167731137,0.7658363580703735,0.2276231050491333,0.5382132530212402,Robbery,-0.08401960134506226,keep,
Abuse,1,4,an aggressor dragging or overpowering a vulnerable person,85.93593230142943,25.592322876808392,0.7635306119918823,0.22163324058055878,0.5418973565101624,Fighting,-0.05390554666519165,keep,
Arson,3,0,a person lighting flammable material before flames spread,84.70582500758879,23.465196333517948,0.7895069718360901,0.24692387878894806,0.5425831079483032,Robbery,-0.03256189823150635,keep,
Assault,4,1,a one-sided attack with punches and defensive movement,86.06166563757903,26.69141661861152,0.7815330624580383,0.23274695873260498,0.5487861037254333,Abuse,-0.035766422748565674,keep,
Robbery,9,1,a victim handing belongings under close range intimidation,84.78597618605403,25.869008032736996,0.8151172995567322,0.2661338150501251,0.5489834547042847,Burglary,-0.08860772848129272,keep,
Fighting,7,1,multiple participants striking each other during mutual combat,85.5474636943753,25.89340436152872,0.8053199648857117,0.25393688678741455,0.5513830780982971,Abuse,-0.05558961629867554,keep,
