class_index,class_name,prompt_index,prompt_text,own_anchor_similarity,best_other_anchor_class,best_other_anchor_similarity,anchor_margin,nearest_anchor_class,nearest_anchor_is_own
1,Abuse,3,a defenseless victim shielding from repeated aggressive contact,0.4990123212337494,Shoplifting,0.7021421194076538,-0.20312979817390442,Shoplifting,False
12,Stealing,2,a suspect carrying property while the owner is distracted,0.48182740807533264,Shoplifting,0.6735984086990356,-0.191771000623703,Shoplifting,False
12,Stealing,0,a person taking unattended property and leaving quickly,0.5152460336685181,Shoplifting,0.7065132260322571,-0.191267192363739,Shoplifting,False
12,Stealing,4,a thief quietly removing property from public space,0.30463969707489014,Normal,0.4954760670661926,-0.1908363699913025,Normal,False
4,Assault,1,a one-sided attack with punches and defensive movement,0.41685107350349426,Robbery,0.6033220291137695,-0.18647095561027527,Robbery,False
3,Arson,2,a lighter touching a surface before ignition begins,0.3838876783847809,Shoplifting,0.5611379146575928,-0.1772502362728119,Shoplifting,False
12,Stealing,3,a person pocketing an unattended item and changing direction,0.5157074928283691,Shoplifting,0.6832013726234436,-0.16749387979507446,Shoplifting,False
12,Stealing,1,"a thief grabbing a bicycle, bag, phone, or object",0.5026087760925293,Shoplifting,0.6647522449493408,-0.16214346885681152,Shoplifting,False
3,Arson,1,a person pouring accelerant before visible fire grows,0.4828645884990692,Shoplifting,0.644512951374054,-0.16164836287498474,Shoplifting,False
4,Assault,3,a victim stumbling backward after a sudden hit,0.5300817489624023,Shoplifting,0.6881870031356812,-0.1581052541732788,Shoplifting,False
9,Robbery,4,a robber confronting a victim before taking belongings,0.5107039213180542,RoadAccidents,0.6513564586639404,-0.14065253734588623,RoadAccidents,False
13,Vandalism,3,someone striking fixtures until visible damage appears,0.4305431842803955,Robbery,0.5604212284088135,-0.12987804412841797,Robbery,False
13,Vandalism,0,a person smashing a window or door with force,0.37401261925697327,Normal,0.503058910369873,-0.12904629111289978,Normal,False
5,Burglary,4,an intruder entering rooms after damaging an entry point,0.5235154628753662,Shoplifting,0.6473299860954285,-0.12381452322006226,Shoplifting,False
5,Burglary,3,a person climbing through a window into private space,0.5718499422073364,Shoplifting,0.693668782711029,-0.12181884050369263,Shoplifting,False
6,Explosion,1,a shockwave pushing fragments outward within seconds,0.5420451164245605,Shoplifting,0.6601067781448364,-0.11806166172027588,Shoplifting,False
9,Robbery,1,a victim handing belongings under close range intimidation,0.5596917867660522,Shoplifting,0.6776976585388184,-0.11800587177276611,Shoplifting,False
3,Arson,0,a person lighting flammable material before flames spread,0.5433789491653442,Shoplifting,0.6607685089111328,-0.11738955974578857,Shoplifting,False
10,Shooting,2,a shooter raising a gun before firing,0.5133346319198608,Shoplifting,0.6292415261268616,-0.11590689420700073,Shoplifting,False
7,Fighting,3,several combatants grappling and swinging simultaneously,0.45669984817504883,Shoplifting,0.5708792805671692,-0.11417943239212036,Shoplifting,False
13,Vandalism,4,a person deliberately damaging property with tools or kicks,0.528680682182312,Shoplifting,0.6415899991989136,-0.11290931701660156,Shoplifting,False
6,Explosion,2,a structure bursting apart from explosive force,0.4892478287220001,Shoplifting,0.5996930003166199,-0.11044517159461975,Shoplifting,False
6,Explosion,4,a sudden pressure wave following a visible detonation,0.5509383678436279,Shoplifting,0.6516060829162598,-0.10066771507263184,Shoplifting,False
9,Robbery,0,a threatening person forcing a victim to surrender valuables,0.5790742039680481,Shoplifting,0.6735432147979736,-0.09446901082992554,Shoplifting,False
8,RoadAccidents,3,vehicles swerving before colliding in traffic,0.539043664932251,Shoplifting,0.6268236041069031,-0.0877799391746521,Shoplifting,False
5,Burglary,1,a person prying a lock before entering property,0.5080810785293579,Shoplifting,0.5925595164299011,-0.08447843790054321,Shoplifting,False
13,Vandalism,1,a suspect spraying graffiti directly onto public property,0.564827561378479,Shoplifting,0.6443679332733154,-0.07954037189483643,Shoplifting,False
5,Burglary,0,an intruder forcing entry through a locked doorway,0.46441924571990967,Robbery,0.5354197025299072,-0.07100045680999756,Robbery,False
5,Burglary,2,a masked intruder breaking into a closed building,0.4520798325538635,Shoplifting,0.5215283632278442,-0.06944853067398071,Shoplifting,False
7,Fighting,1,multiple participants striking each other during mutual combat,0.6162069439888,Shoplifting,0.6570898294448853,-0.040882885456085205,Shoplifting,False
2,Arrest,3,law enforcement securing a suspect during formal custody,0.6100320219993591,Shoplifting,0.6391812562942505,-0.029149234294891357,Shoplifting,False
2,Arrest,4,a detained person kneeling while officers apply restraints,0.5302358269691467,Shoplifting,0.557386040687561,-0.027150213718414307,Shoplifting,False
8,RoadAccidents,1,a car striking a pedestrian or cyclist on road,0.6092758178710938,Shoplifting,0.6077029705047607,0.0015728473663330078,RoadAccidents,True
9,Robbery,3,a person brandishing a weapon to demand property,0.5278694033622742,Shoplifting,0.525388240814209,0.0024811625480651855,Robbery,True
8,RoadAccidents,2,a motorbike sliding across a lane after collision,0.5214672088623047,Shoplifting,0.5147991180419922,0.0066680908203125,RoadAccidents,True
2,Arrest,2,a handcuffed suspect standing between multiple police officers,0.6092926263809204,Shoplifting,0.5962562561035156,0.013036370277404785,Arrest,True
11,Shoplifting,1,a person hiding a retail item while browsing shelves,0.4915733337402344,Normal,0.47790005803108215,0.013673275709152222,Shoplifting,True
2,Arrest,0,uniformed police placing handcuffs on a detained suspect,0.6267595291137695,RoadAccidents,0.6128643155097961,0.013895213603973389,Arrest,True
8,RoadAccidents,0,a vehicle collision causing roadway impact and disruption,0.5881996154785156,Shoplifting,0.566795825958252,0.021403789520263672,RoadAccidents,True
9,Robbery,2,an attacker cornering a victim and seizing items,0.5098270177841187,Shoplifting,0.4872313439846039,0.02259567379951477,Robbery,True
2,Arrest,1,officers escorting a handcuffed person toward a patrol car,0.6711055636405945,RoadAccidents,0.6190019845962524,0.05210357904434204,Arrest,True
8,RoadAccidents,4,a crashed vehicle blocking lanes after impact,0.6393905878067017,Shoplifting,0.587230384349823,0.05216020345687866,RoadAccidents,True
11,Shoplifting,2,store goods disappearing beneath a jacket while shopping,0.6312946081161499,Robbery,0.5789487957954407,0.05234581232070923,Shoplifting,True
11,Shoplifting,0,a shopper concealing merchandise inside clothing or bag,0.6857632398605347,Robbery,0.608295202255249,0.07746803760528564,Shoplifting,True
11,Shoplifting,3,a shopper slipping merchandise into a bag in aisle,0.5526363849639893,Robbery,0.46351584792137146,0.0891205370426178,Shoplifting,True
11,Shoplifting,4,a customer exiting retail space with concealed merchandise,0.6779413223266602,RoadAccidents,0.5684054493904114,0.10953587293624878,Shoplifting,True
